"Datas","Volume de Conversas"
"2/Dez/2019 - 12am","0"
"2/Dez/2019 - 1am","0"
"2/Dez/2019 - 2am","0"
"2/Dez/2019 - 3am","0"
"2/Dez/2019 - 4am","0"
"2/Dez/2019 - 5am","0"
"2/Dez/2019 - 6am","0"
"2/Dez/2019 - 7am","0"
"2/Dez/2019 - 8am","3"
"2/Dez/2019 - 9am","4"
"2/Dez/2019 - 10am","5"
"2/Dez/2019 - 11am","6"
"2/Dez/2019 - 12pm","2"
"2/Dez/2019 - 1pm","7"
"2/Dez/2019 - 2pm","7"
"2/Dez/2019 - 3pm","4"
"2/Dez/2019 - 4pm","11"
"2/Dez/2019 - 5pm","5"
"2/Dez/2019 - 6pm","0"
"2/Dez/2019 - 7pm","0"
"2/Dez/2019 - 8pm","0"
"2/Dez/2019 - 9pm","0"
"2/Dez/2019 - 10pm","0"
"2/Dez/2019 - 11pm","0"
"3/Dez/2019 - 12am","0"
"3/Dez/2019 - 1am","0"
"3/Dez/2019 - 2am","0"
"3/Dez/2019 - 3am","0"
"3/Dez/2019 - 4am","0"
"3/Dez/2019 - 5am","0"
"3/Dez/2019 - 6am","0"
"3/Dez/2019 - 7am","0"
"3/Dez/2019 - 8am","0"
"3/Dez/2019 - 9am","4"
"3/Dez/2019 - 10am","2"
"3/Dez/2019 - 11am","3"
"3/Dez/2019 - 12pm","0"
"3/Dez/2019 - 1pm","4"
"3/Dez/2019 - 2pm","3"
"3/Dez/2019 - 3pm","3"
"3/Dez/2019 - 4pm","4"
"3/Dez/2019 - 5pm","5"
"3/Dez/2019 - 6pm","0"
"3/Dez/2019 - 7pm","0"
"3/Dez/2019 - 8pm","0"
"3/Dez/2019 - 9pm","0"
"3/Dez/2019 - 10pm","0"
"3/Dez/2019 - 11pm","0"
"4/Dez/2019 - 12am","0"
"4/Dez/2019 - 1am","0"
"4/Dez/2019 - 2am","0"
"4/Dez/2019 - 3am","0"
"4/Dez/2019 - 4am","0"
"4/Dez/2019 - 5am","0"
"4/Dez/2019 - 6am","0"
"4/Dez/2019 - 7am","0"
"4/Dez/2019 - 8am","0"
"4/Dez/2019 - 9am","2"
"4/Dez/2019 - 10am","6"
"4/Dez/2019 - 11am","3"
"4/Dez/2019 - 12pm","2"
"4/Dez/2019 - 1pm","2"
"4/Dez/2019 - 2pm","2"
"4/Dez/2019 - 3pm","3"
"4/Dez/2019 - 4pm","1"
"4/Dez/2019 - 5pm","3"
"4/Dez/2019 - 6pm","0"
"4/Dez/2019 - 7pm","0"
"4/Dez/2019 - 8pm","0"
"4/Dez/2019 - 9pm","0"
"4/Dez/2019 - 10pm","0"
"4/Dez/2019 - 11pm","0"
"5/Dez/2019 - 12am","0"
"5/Dez/2019 - 1am","0"
"5/Dez/2019 - 2am","0"
"5/Dez/2019 - 3am","0"
"5/Dez/2019 - 4am","0"
"5/Dez/2019 - 5am","0"
"5/Dez/2019 - 6am","0"
"5/Dez/2019 - 7am","0"
"5/Dez/2019 - 8am","0"
"5/Dez/2019 - 9am","1"
"5/Dez/2019 - 10am","5"
"5/Dez/2019 - 11am","4"
"5/Dez/2019 - 12pm","2"
"5/Dez/2019 - 1pm","7"
"5/Dez/2019 - 2pm","2"
"5/Dez/2019 - 3pm","4"
"5/Dez/2019 - 4pm","3"
"5/Dez/2019 - 5pm","4"
"5/Dez/2019 - 6pm","0"
"5/Dez/2019 - 7pm","0"
"5/Dez/2019 - 8pm","0"
"5/Dez/2019 - 9pm","0"
"5/Dez/2019 - 10pm","0"
"5/Dez/2019 - 11pm","0"
"6/Dez/2019 - 12am","0"
"6/Dez/2019 - 1am","0"
"6/Dez/2019 - 2am","0"
"6/Dez/2019 - 3am","0"
"6/Dez/2019 - 4am","0"
"6/Dez/2019 - 5am","0"
"6/Dez/2019 - 6am","0"
"6/Dez/2019 - 7am","0"
"6/Dez/2019 - 8am","0"
"6/Dez/2019 - 9am","2"
"6/Dez/2019 - 10am","3"
"6/Dez/2019 - 11am","4"
"6/Dez/2019 - 12pm","4"
"6/Dez/2019 - 1pm","6"
"6/Dez/2019 - 2pm","6"
"6/Dez/2019 - 3pm","10"
"6/Dez/2019 - 4pm","2"
"6/Dez/2019 - 5pm","3"
"6/Dez/2019 - 6pm","0"
"6/Dez/2019 - 7pm","0"
"6/Dez/2019 - 8pm","0"
"6/Dez/2019 - 9pm","0"
"6/Dez/2019 - 10pm","0"
"6/Dez/2019 - 11pm","0"
